Sample	Encoding	total_read_pairs	trimmed_read_pairs	avg_sequence_length	sequence_length	gc_content	percent_duplication	percent_aligned	inner_distance_maxima	median_insert_size	mean_insert_size	mean_mapping_quality	mean_coverage	avg_aligned_read_length	pct_mrna_bases	pct_coding_bases	pct_intronic_bases	pct_utr_bases	pct_intergenic_bases	median_cv_coverage	median_5prime_to_3prime_bias	median_5prime_bias	median_3prime_bias	rRNA_percent_aligned	uni_vec_percent_aligned	percent_antisense_strand	percent_sense_strand	median_tin	TSS_Site	TissueType
TCGA-12-3650-01A-01R-1849	Sanger / Illumina 1.9	50385826	28904252	73.338	35-76	50.0	17.9	92.15	-17.5	191.0	2216.253	18.39	16.9	146	91.469	54.266	3.307	37.203	5.215	0.538	0.317	0.067	0.296	2.31	0.01	45.7	45.9	77.293	Duke	Primary Solid Tumor
TCGA-12-3652-01A-01R-1849	Sanger / Illumina 1.9	62292190	44526064	73.381	35-76	50.0	26.9	91.46	-17.5	201.0	2278.069	19.485	26.095	146	92.226	54.686	2.852	37.54	4.914	0.548	0.259	0.069	0.343	2.76	0.01	47.5	46.6	74.238	Duke	Primary Solid Tumor
TCGA-12-3653-01A-01R-1849	Sanger / Illumina 1.9	70221659	33048855	73.326	35-76	50.0	18.0	91.4	-17.5	184.0	2195.557	18.942	18.519	146	90.57	52.063	4.477	38.507	4.942	0.504	0.335	0.078	0.3	4.01	0.01	47.3	47.8	79.697	Duke	Primary Solid Tumor
TCGA-12-5295-01A-01R-1849	Sanger / Illumina 1.9	65457556	43540383	73.399	35-76	50.0	27.6	87.55	-17.5	183.0	1988.558	18.221	25.634	146	92.891	52.422	2.287	40.469	4.765	0.544	0.3	0.072	0.323	7.23	0.01	46.4	46.5	75.500	Duke	Primary Solid Tumor
TCGA-12-5299-01A-02R-1849	Sanger / Illumina 1.9	70438624	59062539	73.418	35-76	50.0	26.1	90.04	-17.5	181.0	2009.907	18.397	34.157	146	92.535	51.591	2.513	40.944	4.917	0.536	0.257	0.064	0.318	5.24	0.01	44.4	44.1	79.352	Duke	Primary Solid Tumor
TCGA-14-0736-02A-01R-2005	Sanger / Illumina 1.9	39321150	30000447	73.616	35-76	49.0	26.7	92.16	-2.5	221.0	2948.547	18.695	17.157	147	86.992	48.205	2.793	38.786	10.207	0.529	0.348	0.096	0.349	2.32	0.01	12.8	12.8	72.095	Emory University	Recurrent Solid Tumor
TCGA-14-0781-01B-01R-1849	Sanger / Illumina 1.9	73698224	61873661	72.458	35-76	49.0	28.5	93.55	-17.5	182.0	2027.638	22.056	29.002	145	87.886	46.338	4.049	41.548	8.064	0.571	0.155	0.044	0.385	1.29	0.01	27.2	27.5	74.763	Emory University	Primary Solid Tumor
TCGA-14-0787-01A-01R-1849	Sanger / Illumina 1.9	52580694	32202300	73.655	35-76	49.0	18.5	94.42	-27.5	175.0	1903.035	23.764	15.499	147	87.425	44.655	4.231	42.77	8.343	0.581	0.162	0.047	0.377	0.88	0.02	41.0	41.1	69.945	Emory University	Primary Solid Tumor
TCGA-14-0789-01A-01R-1849	Sanger / Illumina 1.9	61903772	41544731	73.631	35-76	50.0	21.9	94.15	-27.5	181.0	2054.752	18.202	23.675	147	89.734	52.842	3.351	36.892	6.914	0.5	0.286	0.07	0.301	1.36	0.01	42.1	42.4	79.899	Emory University	Primary Solid Tumor
TCGA-14-0790-01B-01R-1849	Sanger / Illumina 1.9	57609867	35921738	73.767	35-76	48.0	21.2	94.04	-7.5	192.0	2150.671	23.024	17.697	147	86.247	42.659	5.632	43.587	8.118	0.573	0.177	0.046	0.37	1.56	0.02	42.4	42.6	72.888	Emory University	Primary Solid Tumor
TCGA-14-0817-01A-01R-1849	Sanger / Illumina 1.9	76018856	51220693	73.67	35-76	49.0	32.7	91.65	-27.5	188.0	2046.074	19.442	28.911	147	89.393	53.193	3.34	36.199	7.26	0.524	0.337	0.095	0.359	2.39	0.01	40.3	40.4	75.717	Emory University	Primary Solid Tumor
TCGA-14-0871-01A-01R-1849	Sanger / Illumina 1.9	50534707	9050773	73.484	35-76	50.0	17.2	83.72	-27.5	157.0	1442.094	22.502	4.004	146	81.555	45.326	7.479	36.229	10.892	0.554	0.235	0.067	0.301	10.46	0.02	43.6	43.7	67.723	Emory University	Primary Solid Tumor
TCGA-14-1034-01A-01R-1849	Sanger / Illumina 1.9	45874537	38516167	73.618	35-76	49.0	18.3	94.8	-17.5	226.0	2539.436	18.981	22.305	147	91.331	50.706	2.345	40.625	6.323	0.514	0.266	0.069	0.327	0.73	0.01	43.6	43.4	78.173	Emory University	Primary Solid Tumor
TCGA-14-1034-02B-01R-2005	Sanger / Illumina 1.9	59046796	34597758	73.5	35-76	48.0	17.9	94.0	-7.5	273.0	3077.264	18.256	20.687	147	87.576	50.913	5.639	36.663	6.784	0.501	0.599	0.117	0.24	0.78	0.01	42.9	43.3	79.678	Emory University	Recurrent Solid Tumor
TCGA-14-1402-02A-01R-2005	Sanger / Illumina 1.9	57491454	44260962	73.667	35-76	48.0	38.1	86.72	-17.5	186.0	1989.135	20.643	23.513	147	86.459	45.349	4.337	41.111	9.172	0.531	0.388	0.094	0.332	7.37	0.01	40.4	40.3	73.525	Emory University	Recurrent Solid Tumor
TCGA-14-1823-01A-01R-1849	Sanger / Illumina 1.9	65841973	41329499	73.695	35-76	47.0	32.6	91.94	-17.5	210.0	2012.407	22.533	18.857	147	86.92	45.156	3.707	41.763	9.365	0.556	0.282	0.08	0.374	2.22	0.01	35.3	35.4	70.795	Emory University	Primary Solid Tumor
TCGA-14-1825-01A-01R-1850	Sanger / Illumina 1.9	50409495	14396520	73.563	35-76	49.0	10.9	94.03	-17.5	186.0	2293.149	19.314	8.337	147	87.946	48.584	4.694	39.363	7.358	0.537	0.295	0.07	0.312	0.96	0.02	45.5	45.9	74.621	Emory University	Primary Solid Tumor
TCGA-14-1829-01A-01R-1850	Sanger / Illumina 1.9	67392334	46445182	73.877	35-76	46.0	35.8	89.93	-17.5	194.0	2179.457	21.007	26.151	147	89.182	46.616	3.253	42.566	7.55	0.552	0.253	0.069	0.385	3.82	0.01	23.7	23.5	68.457	Emory University	Primary Solid Tumor
TCGA-14-2554-01A-01R-1850	Sanger / Illumina 1.9	66436328	57786670	73.821	35-76	48.0	31.6	91.1	-27.5	177.0	1820.446	19.86	30.498	147	90.271	47.409	3.154	42.862	6.563	0.561	0.235	0.06	0.368	3.57	0.01	41.8	41.5	75.752	Emory University	Primary Solid Tumor
TCGA-15-0742-01A-01R-1850	Sanger / Illumina 1.9	58859387	47476775	73.063	35-76	49.0	21.1	94.63	-7.5	179.0	1909.391	26.395	19.194	146	83.935	42.185	5.163	41.751	10.901	0.611	0.119	0.038	0.416	0.66	0.02	33.1	32.8	67.791	Mayo Clinic - Rochester	Primary Solid Tumor
TCGA-15-1444-01A-02R-1850	Sanger / Illumina 1.9	73386160	61237073	72.565	35-76	48.0	22.1	94.4	-17.5	180.0	2332.123	19.18	33.751	145	85.226	44.786	5.604	40.44	9.168	0.517	0.238	0.052	0.328	0.71	0.02	33.9	33.9	80.171	Mayo Clinic - Rochester	Primary Solid Tumor
TCGA-16-0846-01A-01R-1850	Sanger / Illumina 1.9	60101600	48778738	73.662	35-76	49.0	27.1	93.21	-27.5	162.0	1669.043	25.779	20.282	147	86.135	38.953	4.457	47.182	9.403	0.608	0.108	0.042	0.485	2.32	0.02	36.5	36.6	68.694	Toronto Western Hospital	Primary Solid Tumor
TCGA-16-1045-01B-01R-1850	Sanger / Illumina 1.9	56358031	42194372	73.555	35-76	49.0	20.8	93.66	-17.5	228.0	2718.243	17.881	24.867	147	85.559	49.051	5.564	36.508	8.872	0.511	0.506	0.107	0.268	1.58	0.01	39.5	39.9	80.610	Toronto Western Hospital	Primary Solid Tumor
TCGA-19-0957-02A-11R-2005	Sanger / Illumina 1.9	60105318	51820378	73.675	35-76	48.0	24.4	94.02	-17.5	179.0	2013.609	20.51	25.753	147	82.291	41.316	5.02	40.976	12.685	0.529	0.173	0.049	0.414	1.69	0.01	28.2	28.9	78.837	Case Western	Recurrent Solid Tumor
TCGA-19-1389-02A-21R-2005	Sanger / Illumina 1.9	57048297	49377495	73.715	35-76	48.0	29.5	90.16	-17.5	174.0	1589.336	25.782	21.207	147	87.369	42.082	4.218	45.287	8.406	0.612	0.106	0.033	0.462	5.71	0.01	37.3	36.9	70.995	Case Western	Recurrent Solid Tumor
TCGA-19-1390-01A-01R-1850	Sanger / Illumina 1.9	73602701	62125464	73.384	35-76	49.0	17.6	94.12	-7.5	180.0	2331.152	20.441	32.061	146	80.445	44.542	9.064	35.903	10.489	0.509	0.322	0.068	0.285	1.09	0.02	33.1	33.3	81.061	Case Western	Primary Solid Tumor
TCGA-19-1787-01B-01R-1850	Sanger / Illumina 1.9	76810222	58663337	73.416	35-76	49.0	23.3	91.42	-7.5	183.0	2100.927	19.93	30.025	146	84.065	47.037	5.125	37.028	10.805	0.53	0.284	0.064	0.312	3.66	0.01	31.1	30.5	78.585	Case Western	Primary Solid Tumor
TCGA-19-2619-01A-01R-1850	Sanger / Illumina 1.9	76688302	61243894	73.329	35-76	50.0	19.9	93.81	-2.5	197.0	2486.661	19.65	34.219	146	87.358	47.735	5.508	39.623	7.13	0.52	0.22	0.05	0.303	1.81	0.02	38.9	39.0	80.005	Case Western	Primary Solid Tumor
TCGA-19-2620-01A-01R-1850	Sanger / Illumina 1.9	59644300	31586553	73.466	35-76	49.0	21.2	93.93	-17.5	181.0	2081.756	22.059	15.24	146	82.627	43.787	5.117	38.84	12.253	0.545	0.195	0.054	0.352	1.16	0.02	35.9	35.4	76.548	Case Western	Primary Solid Tumor
TCGA-19-2624-01A-01R-1850	Sanger / Illumina 1.9	75148618	66542186	73.498	35-76	48.0	20.1	93.53	-7.5	182.0	1930.277	29.92	24.522	146	78.044	35.888	12.032	42.157	9.914	0.642	0.091	0.03	0.407	1.81	0.02	38.6	39.0	69.218	Case Western	Primary Solid Tumor
TCGA-19-2625-01A-01R-1850	Sanger / Illumina 1.9	74333668	59265725	73.347	35-76	50.0	28.8	93.39	-17.5	172.0	1772.247	25.499	22.543	146	82.593	42.597	5.851	39.996	11.551	0.603	0.142	0.045	0.418	1.6	0.01	31.6	31.1	70.529	Case Western	Primary Solid Tumor
TCGA-19-2629-01A-01R-1850	Sanger / Illumina 1.9	73577305	59016193	73.382	35-76	50.0	22.8	93.7	-17.5	178.0	2080.8	20.791	31.147	146	90.367	49.252	3.377	41.115	6.25	0.542	0.264	0.062	0.327	1.84	0.01	41.5	41.7	76.743	Case Western	Primary Solid Tumor
TCGA-19-4065-01A-01R-2005	Sanger / Illumina 1.9	70892383	59725490	72.553	35-76	48.0	24.9	92.95	-7.5	198.0	2351.687	21.609	30.932	145	85.699	47.135	5.734	38.565	8.564	0.552	0.233	0.055	0.353	1.23	0.01	36.7	36.9	76.315	Case Western	Primary Solid Tumor
TCGA-19-4065-02A-11R-2005	Sanger / Illumina 1.9	56670181	46122827	72.427	35-76	48.0	23.1	93.85	-7.5	194.0	2106.115	22.462	20.277	145	83.75	44.524	4.663	39.226	11.585	0.582	0.122	0.04	0.461	0.7	0.02	32.1	31.7	74.842	Case Western	Recurrent Solid Tumor
TCGA-19-5960-01A-11R-1850	Sanger / Illumina 1.9	66614680	57356409	72.623	35-76	48.0	17.7	93.85	-7.5	188.0	2470.19	19.877	32.377	145	86.886	48.141	6.006	38.745	7.104	0.518	0.257	0.057	0.293	0.87	0.02	43.8	43.5	80.700	Case Western	Primary Solid Tumor
TCGA-26-1442-01A-01R-1850	Sanger / Illumina 1.9	73834555	62435952	72.548	35-76	48.0	27.6	93.0	-7.5	175.0	1946.148	24.013	25.94	145	76.088	37.267	7.305	38.82	16.603	0.558	0.139	0.041	0.384	1.44	0.01	19.6	19.8	76.247	University of Florida	Primary Solid Tumor
TCGA-26-5132-01A-01R-1850	Sanger / Illumina 1.9	65716691	51641187	73.348	35-76	50.0	19.9	93.56	-17.5	182.0	2193.772	21.358	25.741	146	85.319	47.401	5.992	37.918	8.684	0.537	0.26	0.063	0.327	1.65	0.01	37.3	37.3	77.084	University of Florida	Primary Solid Tumor
TCGA-26-5133-01A-01R-1850	Sanger / Illumina 1.9	62039382	50643896	73.373	35-76	50.0	23.2	89.83	-17.5	174.0	1968.436	19.67	27.527	146	87.591	48.743	4.513	38.848	7.887	0.531	0.3	0.063	0.296	5.44	0.01	40.0	39.7	78.428	University of Florida	Primary Solid Tumor
TCGA-26-5134-01A-01R-1850	Sanger / Illumina 1.9	66654681	52744738	72.678	35-76	54.0	73.5	26.49	-7.5	155.0	750.515	28.045	21.443	145	74.25	9.144	8.669	65.107	16.589	0.63	0.156	0.054	0.428	69.52	0.01	44.8	44.8	70.814	University of Florida	Primary Solid Tumor
TCGA-26-5135-01A-01R-1850	Sanger / Illumina 1.9	62099209	41222320	73.316	35-76	51.0	20.4	91.34	-17.5	173.0	1873.446	21.553	19.451	146	85.983	45.745	5.542	40.238	8.462	0.556	0.182	0.048	0.356	3.96	0.01	40.6	40.4	75.933	University of Florida	Primary Solid Tumor
TCGA-26-5136-01B-01R-1850	Sanger / Illumina 1.9	44781738	18341974	72.412	35-76	47.0	14.2	92.09	-7.5	195.0	2156.138	29.289	6.908	145	79.669	36.11	7.165	43.56	13.165	0.669	0.091	0.04	0.502	1.66	0.02	38.3	38.5	63.416	University of Florida	Primary Solid Tumor
TCGA-26-5139-01A-01R-1850	Sanger / Illumina 1.9	57454933	46840950	72.392	35-76	48.0	18.2	93.88	-2.5	203.0	2272.704	22.337	22.387	145	88.018	45.202	4.551	42.816	7.43	0.556	0.158	0.045	0.38	0.78	0.01	40.8	41.1	75.387	University of Florida	Primary Solid Tumor
TCGA-27-1830-01A-01R-1850	Sanger / Illumina 1.9	62003335	51231879	73.693	35-76	48.0	23.8	94.24	-27.5	175.0	1952.501	22.009	25.325	147	82.57	43.645	6.666	38.924	10.762	0.536	0.264	0.06	0.306	1.12	0.02	32.8	32.8	77.804	FINCB (Milan)	Primary Solid Tumor
TCGA-27-1831-01A-01R-1850	Sanger / Illumina 1.9	57833543	39719539	73.771	35-76	46.0	37.9	89.22	-27.5	174.0	1767.473	27.744	18.175	147	88.933	41.213	3.998	47.721	7.048	0.672	0.131	0.044	0.484	4.78	0.01	43.8	43.8	54.199	FINCB (Milan)	Primary Solid Tumor
TCGA-27-1832-01A-01R-1850	Sanger / Illumina 1.9	71080835	62533591	73.623	35-76	48.0	39.6	91.95	-37.5	158.0	1599.933	26.837	24.421	147	83.423	39.653	6.278	43.77	10.296	0.637	0.119	0.042	0.495	1.34	0.01	27.4	27.6	67.550	FINCB (Milan)	Primary Solid Tumor
TCGA-27-1834-01A-01R-1850	Sanger / Illumina 1.9	58288106	46126961	73.742	35-76	48.0	23.4	94.34	-27.5	174.0	2072.949	19.335	25.043	147	85.015	44.996	5.159	40.019	9.824	0.515	0.29	0.067	0.32	1.22	0.01	35.8	35.7	79.535	FINCB (Milan)	Primary Solid Tumor
TCGA-27-1835-01A-01R-1850	Sanger / Illumina 1.9	59785447	41318528	73.77	35-76	48.0	25.5	93.85	-7.5	179.0	1673.392	28.249	15.317	147	76.95	36.216	6.928	40.735	16.12	0.642	0.095	0.031	0.402	1.4	0.02	31.8	32.0	67.627	FINCB (Milan)	Primary Solid Tumor
TCGA-27-1837-01A-01R-1850	Sanger / Illumina 1.9	58535277	21957025	73.599	35-76	49.0	16.6	93.79	-17.5	177.0	2103.748	21.708	11.228	147	83.574	44.506	5.596	39.067	10.827	0.541	0.187	0.049	0.334	1.51	0.02	39.8	39.7	74.418	FINCB (Milan)	Primary Solid Tumor
TCGA-27-2519-01A-01R-1850	Sanger / Illumina 1.9	57137415	50301177	73.566	35-76	49.0	22.8	93.24	-2.5	227.0	2405.347	23.949	23.182	147	83.968	41.393	4.143	42.575	11.886	0.554	0.298	0.08	0.351	1.86	0.01	31.3	31.3	72.902	FINCB (Milan)	Primary Solid Tumor
TCGA-27-2521-01A-01R-1850	Sanger / Illumina 1.9	67145403	56374426	73.678	35-76	50.0	23.6	92.58	-17.5	198.0	2188.455	18.168	32.056	147	89.055	51.74	3.788	37.316	7.151	0.525	0.361	0.08	0.304	2.13	0.01	40.3	40.5	79.036	FINCB (Milan)	Primary Solid Tumor
TCGA-27-2523-01A-01R-1850	Sanger / Illumina 1.9	65573584	58220358	73.659	35-76	49.0	21.0	94.03	-7.5	217.0	2606.387	18.08	36.387	147	91.719	52.572	3.204	39.147	5.074	0.526	0.361	0.078	0.276	1.34	0.01	45.5	45.3	79.104	FINCB (Milan)	Primary Solid Tumor
TCGA-27-2524-01A-01R-1850	Sanger / Illumina 1.9	60465468	47849359	73.549	35-76	50.0	29.8	90.6	-7.5	206.0	1965.866	21.058	24.064	147	90.703	51.907	2.989	38.796	6.297	0.553	0.285	0.08	0.368	3.97	0.01	38.9	39.3	71.820	FINCB (Milan)	Primary Solid Tumor
TCGA-27-2526-01A-01R-1850	Sanger / Illumina 1.9	60087287	51157900	73.689	35-76	49.0	32.1	91.16	-17.5	193.0	2113.764	20.598	27.997	147	91.613	48.045	2.043	43.568	6.33	0.576	0.261	0.076	0.373	3.83	0.01	43.6	43.9	69.026	FINCB (Milan)	Primary Solid Tumor
TCGA-27-2528-01A-01R-1850	Sanger / Illumina 1.9	63109884	55112793	73.709	35-76	48.0	25.5	91.24	-7.5	200.0	2095.655	20.732	28.616	147	87.183	46.211	4.2	40.972	8.614	0.549	0.251	0.056	0.302	4.32	0.01	36.7	36.6	77.284	FINCB (Milan)	Primary Solid Tumor
TCGA-28-1747-01C-01R-1850	Sanger / Illumina 1.9	59398452	51596163	73.673	35-76	49.0	23.1	94.0	-2.5	205.0	2247.663	21.221	26.09	147	88.21	45.992	4.517	42.218	7.271	0.559	0.273	0.065	0.3	1.69	0.02	40.0	39.8	75.735	Cedars Sinai	Primary Solid Tumor
TCGA-28-1753-01A-01R-1850	Sanger / Illumina 1.9	56771522	23233632	73.389	35-76	49.0	13.7	93.33	-7.5	191.0	2129.703	21.483	11.272	146	84.631	46.048	6.082	38.584	9.271	0.54	0.203	0.056	0.32	1.98	0.02	38.4	38.4	75.782	Cedars Sinai	Primary Solid Tumor
TCGA-28-2499-01A-01R-1850	Sanger / Illumina 1.9	66449385	52241098	73.395	35-76	49.0	25.2	93.01	-7.5	196.0	2531.571	19.066	29.774	146	86.832	48.741	3.634	38.091	9.531	0.527	0.315	0.069	0.307	2.02	0.01	38.5	38.3	78.285	Cedars Sinai	Primary Solid Tumor
TCGA-28-2509-01A-01R-1850	Sanger / Illumina 1.9	64600153	51545299	73.327	35-76	50.0	24.1	88.67	-7.5	192.0	2151.791	17.741	30.39	146	90.361	51.83	3.632	38.531	5.967	0.521	0.279	0.058	0.282	6.63	0.01	44.0	43.9	80.146	Cedars Sinai	Primary Solid Tumor
TCGA-28-2510-01A-01R-1850	Sanger / Illumina 1.9	57820093	48376222	72.492	35-76	49.0	20.2	94.05	-17.5	175.0	2145.701	20.77	23.801	145	82.153	40.908	5.488	41.245	12.359	0.538	0.163	0.041	0.359	0.97	0.02	31.7	31.9	77.471	Cedars Sinai	Primary Solid Tumor
TCGA-28-2513-01A-01R-1850	Sanger / Illumina 1.9	64815986	46044591	73.342	35-76	50.0	23.2	92.53	-7.5	200.0	2375.066	19.643	26.491	146	89.59	52.27	3.45	37.32	6.952	0.52	0.363	0.075	0.289	2.8	0.01	40.5	40.1	79.376	Cedars Sinai	Primary Solid Tumor
TCGA-28-2514-01A-02R-1850	Sanger / Illumina 1.9	71844410	56009787	73.413	35-76	49.0	19.0	91.23	-7.5	185.0	2382.331	18.668	33.906	146	86.943	46.995	5.419	39.948	7.63	0.514	0.267	0.054	0.287	4.33	0.02	41.7	41.7	81.082	Cedars Sinai	Primary Solid Tumor
TCGA-28-5204-01A-01R-1850	Sanger / Illumina 1.9	57924372	47130645	72.367	35-76	49.0	16.3	93.62	-2.5	214.0	2695.346	17.811	29.55	145	92.296	53.199	3.438	39.097	4.265	0.529	0.272	0.056	0.304	1.34	0.01	47.7	47.1	79.032	Cedars Sinai	Primary Solid Tumor
TCGA-28-5207-01A-01R-1850	Sanger / Illumina 1.9	58507459	45480771	72.445	35-76	48.0	16.4	92.8	-17.5	190.0	2370.588	19.065	25.727	145	89.667	47.861	3.718	41.806	6.607	0.525	0.218	0.06	0.357	1.71	0.01	42.9	42.6	79.608	Cedars Sinai	Primary Solid Tumor
TCGA-28-5208-01A-01R-1850	Sanger / Illumina 1.9	66399977	51795392	72.512	35-76	48.0	19.7	93.21	-7.5	205.0	2416.136	18.45	30.723	145	92.732	53.727	2.771	39.005	4.495	0.534	0.268	0.057	0.321	1.12	0.01	46.1	46.1	78.382	Cedars Sinai	Primary Solid Tumor
TCGA-28-5209-01A-01R-1850	Sanger / Illumina 1.9	66562975	54306610	72.489	35-76	49.0	18.3	94.09	-7.5	196.0	2639.062	19.131	35.493	145	91.238	52.648	3.696	38.59	5.064	0.526	0.228	0.045	0.315	1.04	0.01	44.5	45.0	79.832	Cedars Sinai	Primary Solid Tumor
TCGA-28-5213-01A-01R-1850	Sanger / Illumina 1.9	63396614	21886037	72.464	35-76	49.0	20.1	92.02	-17.5	195.0	2345.078	18.594	12.675	145	92.802	54.136	3.009	38.666	4.185	0.537	0.316	0.075	0.321	2.1	0.01	47.4	47.3	74.714	Cedars Sinai	Primary Solid Tumor
TCGA-28-5215-01A-01R-1850	Sanger / Illumina 1.9	72503957	60749642	72.442	35-76	49.0	19.1	94.04	-17.5	189.0	2622.828	17.765	37.341	145	89.883	51.582	4.062	38.302	6.054	0.52	0.229	0.042	0.294	0.99	0.01	42.6	42.6	80.958	Cedars Sinai	Primary Solid Tumor
TCGA-28-5216-01A-01R-1850	Sanger / Illumina 1.9	49374702	40969308	72.431	35-76	49.0	20.2	92.36	-17.5	190.0	2178.689	19.042	22.295	145	90.05	50.275	3.629	39.775	6.314	0.54	0.262	0.061	0.316	2.24	0.01	44.0	44.0	77.101	Cedars Sinai	Primary Solid Tumor
TCGA-28-5218-01A-01R-1850	Sanger / Illumina 1.9	54099851	45953022	72.454	35-76	50.0	22.0	93.76	-17.5	200.0	2270.662	20.662	23.793	145	90.416	54.778	3.034	35.638	6.549	0.53	0.208	0.047	0.321	1.08	0.02	39.1	39.1	77.271	Cedars Sinai	Primary Solid Tumor
TCGA-28-5220-01A-01R-1850	Sanger / Illumina 1.9	60218975	47282682	72.584	35-76	48.0	21.5	92.21	-17.5	176.0	2147.151	18.798	26.619	145	90.227	48.237	3.562	41.989	6.204	0.549	0.371	0.088	0.322	2.51	0.01	43.1	43.0	77.410	Cedars Sinai	Primary Solid Tumor
TCGA-32-1970-01A-01R-1850	Sanger / Illumina 1.9	72197070	52297251	73.373	35-76	50.0	18.9	92.84	-7.5	186.0	2315.262	20.15	27.323	146	83.967	45.964	6.282	38.003	9.743	0.522	0.256	0.056	0.308	2.54	0.02	35.0	35.0	78.873	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-1980-01A-01R-1850	Sanger / Illumina 1.9	62524850	53046852	72.436	35-76	48.0	24.2	93.6	-7.5	196.0	2256.522	19.594	26.96	145	86.069	45.176	3.665	40.893	10.262	0.535	0.181	0.047	0.355	1.28	0.01	32.5	32.1	78.106	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-1982-01A-01R-1850	Sanger / Illumina 1.9	61349157	16053175	73.381	35-76	49.0	15.0	92.77	-17.5	186.0	2117.924	20.964	7.888	146	84.096	46.938	5.969	37.158	9.929	0.542	0.276	0.067	0.312	1.78	0.01	44.6	45.2	73.334	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-2615-01A-01R-1850	Sanger / Illumina 1.9	83461295	63336617	73.363	35-76	50.0	23.5	93.23	-17.5	177.0	2141.217	20.962	31.15	146	84.454	46.799	6.558	37.654	8.985	0.528	0.309	0.067	0.318	1.92	0.01	37.5	37.3	79.630	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-2616-01A-01R-1850	Sanger / Illumina 1.9	78694787	67349619	73.368	35-76	50.0	23.5	93.06	-17.5	187.0	2293.314	19.218	38.483	146	87.577	50.425	4.094	37.152	8.326	0.523	0.31	0.062	0.287	2.23	0.01	34.5	34.1	79.757	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-2632-01A-01R-1850	Sanger / Illumina 1.9	71429775	48173447	73.367	35-76	50.0	21.5	92.81	-17.5	189.0	2347.025	19.033	27.616	146	87.461	50.46	3.885	37.001	8.647	0.515	0.343	0.072	0.313	2.04	0.01	39.2	38.7	80.590	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-2634-01A-01R-1850	Sanger / Illumina 1.9	80575655	65558428	73.417	35-76	49.0	21.1	90.7	-17.5	177.0	2057.193	19.729	34.584	146	84.901	45.827	5.857	39.074	9.232	0.518	0.265	0.066	0.313	4.47	0.02	38.3	38.8	81.284	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-2638-01A-01R-1850	Sanger / Illumina 1.9	80150577	64775807	73.369	35-76	50.0	21.6	93.53	-7.5	195.0	2295.382	20.294	35.138	146	87.528	49.962	5.113	37.566	7.355	0.519	0.313	0.068	0.288	1.78	0.02	40.1	40.0	80.580	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-4213-01A-01R-1850	Sanger / Illumina 1.9	67985935	44009339	72.921	35-76	53.0	60.4	43.55	-17.5	147.0	846.204	20.353	19.894	145	82.049	23.58	5.353	58.469	12.16	0.545	0.227	0.059	0.322	51.8	0.0	46.1	45.8	74.816	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-32-5222-01A-01R-1850	Sanger / Illumina 1.9	66233836	56027236	72.565	35-76	48.0	25.5	92.08	-17.5	206.0	2362.809	17.779	34.727	145	92.421	55.029	3.215	37.391	4.36	0.54	0.344	0.075	0.3	1.83	0.01	46.3	45.9	79.480	St Josephs Hospital (AZ)	Primary Solid Tumor
TCGA-41-2571-01A-01R-1850	Sanger / Illumina 1.9	74421492	54966618	73.108	35-76	51.0	31.5	78.68	-7.5	179.0	1699.172	20.457	26.438	146	83.291	40.02	6.384	43.271	10.061	0.53	0.24	0.061	0.313	16.37	0.01	41.6	41.6	78.665	Christiana Healthcare	Primary Solid Tumor
TCGA-41-2572-01A-01R-1850	Sanger / Illumina 1.9	69007868	45270227	73.377	35-76	50.0	26.7	92.0	-17.5	172.0	1863.497	23.872	20.84	146	85.253	44.914	6.003	40.339	8.731	0.576	0.175	0.051	0.386	2.84	0.01	41.1	41.3	72.006	Christiana Healthcare	Primary Solid Tumor
TCGA-41-3915-01A-01R-1850	Sanger / Illumina 1.9	69403842	47047792	73.201	35-76	51.0	30.8	77.99	-17.5	157.0	1492.179	19.579	23.967	146	85.707	41.859	5.495	43.848	8.656	0.519	0.328	0.072	0.302	17.22	0.01	43.5	43.2	79.636	Christiana Healthcare	Primary Solid Tumor
TCGA-41-4097-01A-01R-1850	Sanger / Illumina 1.9	63549007	35213816	73.392	35-76	50.0	18.7	93.43	-17.5	173.0	2091.551	20.161	18.198	146	84.432	46.283	6.241	38.149	9.317	0.517	0.291	0.07	0.317	2.16	0.02	40.0	39.9	79.249	Christiana Healthcare	Primary Solid Tumor
TCGA-41-5651-01A-01R-1850	Sanger / Illumina 1.9	51507507	42764543	72.283	35-76	49.0	15.9	93.1	-7.5	213.0	2612.177	19.521	23.693	144	87.786	49.036	5.47	38.75	6.743	0.54	0.404	0.092	0.279	1.09	0.01	28.0	27.9	78.461	Christiana Healthcare	Primary Solid Tumor
